#mpa_vJan21_CHOCOPhlAnSGB_202103
clade_name	R10_S209_L002_R1_001.fastqd_metagenome	R11_S210_L002_R1_001.fastqd_metagenome	R12_S211_L002_R1_001.fastqd_metagenome	R13_S212_L002_R1_001.fastqd_metagenome	R14_S213_L002_R1_001.fastqd_metagenome	R15_S214_L002_R1_001.fastqd_metagenome	R16_S215_L002_R1_001.fastqd_metagenome	R17_S216_L002_R1_001.fastqd_metagenome	R18_S217_L002_R1_001.fastqd_metagenome	R19_S218_L002_R1_001.fastqd_metagenome	R1_S200_L002_R1_001.fastqd_metagenome	R20_S219_L002_R1_001.fastqd_metagenome	R21_S220_L002_R1_001.fastqd_metagenome	R22_S221_L002_R1_001.fastqd_metagenome	R2_S201_L002_R1_001.fastqd_metagenome	R3_S202_L002_R1_001.fastqd_metagenome	R4_S203_L002_R1_001.fastqd_metagenome	R5_S204_L002_R1_001.fastqd_metagenome	R6_S205_L002_R1_001.fastqd_metagenome	R7_S206_L002_R1_001.fastqd_metagenome	R8_S207_L002_R1_001.fastqd_metagenome	R9_S208_L002_R1_001.fastqd_metagenome
k__Bacteria|p__Firmicutes|c__CFGB9650|o__OFGB9650	0.78548	0.12461	2.72484	0.19442	0.31505	1.13249	0.41147	0.64704	1.67058	0.02861	0.1239	0.32096	1.11197	0.43504	0.36369	0.02834	0.11208	0.45796	0.32426	0.01098	0.33143	0.05825
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	0.70488	0.17575	0.36204	0.16008	0.00278	0.1289	0.3423	0.37197	0.50844	0.00036	0.01541	0.00299	0.05048	0.04879	0.1219	0.0954	0.03431	0.09368	0.23044	0.00163	0.25711	0.14056
k__Bacteria|p__Bacteroidetes|c__CFGB7480|o__OFGB7480	0.62877	0.28438	0.2587	0.59281	0.00249	0.34634	0.31233	0.46973	0.27844	0.12291	0.6165	0.07989	0.1026	0.13669	0.3526	0.34643	0.12163	0.40789	0.14744	0.2529	0.91273	0.72255
k__Bacteria|p__Firmicutes|c__CFGB9658|o__OFGB9658	0.61056	0.0	0.0	0.0	0.00268	0.0	0.00071	0.10406	0.05701	0.0	0.0	0.0	0.01433	0.00547	0.0	5e-05	0.0	0.0	0.0	0.0	0.08546	0.00287
k__Bacteria|p__Proteobacteria|c__CFGB9469|o__OFGB9469	0.50424	0.32854	0.13575	0.31559	0.02926	0.38751	1.26724	0.43924	1.2373	0.21197	0.34408	0.09931	0.30808	1.45423	0.36428	0.26804	0.25073	2.62365	2.59076	0.04968	0.41029	0.16739
k__Bacteria|p__Bacteroidetes|c__CFGB637|o__OFGB637	0.45535	0.63491	0.01527	1.07639	0.00402	0.80598	0.91471	0.52991	0.40438	0.78631	0.42595	0.02719	0.03619	0.20687	0.24957	0.3556	1.20234	0.60628	0.57635	1.59208	0.56834	1.34989
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	0.41189	0.8097	0.76325	0.72465	3.89237	0.97587	0.65385	1.36088	0.95775	1.2552	1.19601	1.52394	2.45591	1.4789	0.36355	1.19393	1.13316	0.80956	0.77352	0.7036	0.67573	1.29894
k__Bacteria|p__Bacteroidetes|c__CFGB9384|o__OFGB9384	0.4065	0.82484	1.28941	0.27518	0.00853	0.52544	0.22588	0.90968	0.60486	0.09204	0.61301	0.05363	0.1433	0.15112	0.31205	0.68699	0.78639	0.1971	0.26784	0.09074	0.24089	0.35695
k__Bacteria|p__Firmicutes|c__CFGB9633|o__OFGB9633	0.37695	0.02201	0.29752	0.21896	0.00843	0.05519	0.13953	0.30585	0.66295	0.01339	0.01212	0.0164	0.16605	0.07546	0.0941	0.00896	0.00661	0.0709	0.09213	1e-05	0.17725	0.04865
k__Bacteria|p__Firmicutes|c__CFGB8157|o__OFGB8157	0.3642	0.14777	0.72573	0.40929	0.08504	0.23249	0.43853	0.6768	0.80848	0.41204	0.1568	0.05296	0.52523	0.31563	0.3024	0.08055	0.12431	0.18592	0.32449	0.0134	0.23853	0.07748
k__Bacteria|p__Bacteroidetes|c__CFGB636|o__OFGB636	0.31336	0.09365	0.10103	0.17812	0.02895	0.10914	0.35724	0.26131	0.16367	0.32729	0.49508	0.1304	0.04509	0.15702	0.10796	0.2364	0.28185	0.32773	0.13756	0.26649	0.30791	0.3077
k__Bacteria|p__Bacteroidetes|c__CFGB9395|o__OFGB9395	0.30711	0.09253	0.90789	0.0512	0.01814	0.09132	0.17101	0.61842	0.40567	0.18578	0.95213	0.10092	0.17039	0.04911	0.01612	0.89997	0.02111	0.26551	0.0428	0.04865	0.2322	0.13245
k__Bacteria|p__Bacteroidetes|c__CFGB9375|o__OFGB9375	0.25526	0.17809	0.64118	0.16525	0.00492	0.20753	0.06296	0.20674	0.24154	0.02677	0.07438	0.02451	0.21152	0.17083	0.19176	0.12136	0.07953	0.11746	0.15906	0.02361	0.32179	0.08194
k__Bacteria|p__Bacteroidetes|c__CFGB9388|o__OFGB9388	0.2193	0.10049	0.42227	0.09387	0.04395	0.29864	0.15871	0.61812	0.43816	0.07845	0.21121	0.14333	0.07814	0.12668	0.0746	0.36435	0.0625	0.42985	0.11269	0.13814	0.51798	0.19002
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	0.19606	2.96259	0.02749	0.11079	0.0158	1.75605	1.33	0.23675	0.16878	0.34092	1.41508	0.0289	0.94514	0.09207	0.79499	2.07996	1.18732	0.56026	3.15903	0.50279	0.52648	0.74395
k__Bacteria|p__Firmicutes|c__CFGB9827|o__OFGB9827	0.19264	0.1137	0.17438	0.21806	0.00186	0.08441	0.3173	0.24155	0.3977	0.02509	0.09943	0.01373	0.1407	0.11886	0.22441	0.07441	0.10668	0.16306	0.318	0.01047	0.11479	0.11247
k__Bacteria|p__Proteobacteria|c__CFGB9318|o__OFGB9318	0.16571	0.40167	0.55347	0.02483	0.00165	0.48996	0.48976	0.08515	0.10182	0.01306	0.80484	0.05812	0.01309	0.01224	0.03174	0.18299	0.47157	0.12677	0.267	0.2272	0.04223	0.14674
